race_id,driver_id,lap,position,time,milliseconds,ingestion_date
67,2,3,7,1:25.296,85296,2024-09-05T09:16:11.108Z
67,2,4,7,1:25.076,85076,2024-09-05T09:16:11.108Z
67,2,5,7,1:24.744,84744,2024-09-05T09:16:11.108Z
67,2,6,7,1:24.617,84617,2024-09-05T09:16:11.108Z
67,2,7,7,1:24.396,84396,2024-09-05T09:16:11.108Z
67,2,8,7,1:24.264,84264,2024-09-05T09:16:11.108Z
67,2,9,7,1:24.069,84069,2024-09-05T09:16:11.108Z
67,2,10,7,1:24.050,84050,2024-09-05T09:16:11.108Z
67,2,11,7,1:23.982,83982,2024-09-05T09:16:11.108Z
67,2,12,7,1:24.159,84159,2024-09-05T09:16:11.108Z
67,2,13,7,1:23.945,83945,2024-09-05T09:16:11.108Z
67,2,14,7,1:23.847,83847,2024-09-05T09:16:11.108Z
67,2,15,7,1:23.628,83628,2024-09-05T09:16:11.108Z
67,2,16,6,1:23.730,83730,2024-09-05T09:16:11.108Z
67,2,17,6,1:23.708,83708,2024-09-05T09:16:11.108Z
67,2,18,5,1:23.750,83750,2024-09-05T09:16:11.108Z
67,2,19,4,1:23.685,83685,2024-09-05T09:16:11.108Z
67,2,20,2,1:23.294,83294,2024-09-05T09:16:11.108Z
67,2,21,2,1:27.236,87236,2024-09-05T09:16:11.108Z
67,2,22,8,1:47.744,107744,2024-09-05T09:16:11.108Z
67,2,23,8,1:24.213,84213,2024-09-05T09:16:11.108Z
67,2,24,8,1:24.207,84207,2024-09-05T09:16:11.108Z
67,2,25,9,1:28.304,88304,2024-09-05T09:16:11.108Z
67,2,26,11,1:36.068,96068,2024-09-05T09:16:11.108Z
67,2,27,11,1:24.197,84197,2024-09-05T09:16:11.108Z
67,2,28,11,1:24.359,84359,2024-09-05T09:16:11.108Z
67,2,29,11,1:24.071,84071,2024-09-05T09:16:11.108Z
67,2,30,10,1:24.133,84133,2024-09-05T09:16:11.108Z
67,2,31,8,1:24.664,84664,2024-09-05T09:16:11.108Z
67,2,32,8,1:24.912,84912,2024-09-05T09:16:11.108Z
67,2,33,7,1:23.714,83714,2024-09-05T09:16:11.108Z
67,2,34,7,1:23.617,83617,2024-09-05T09:16:11.108Z
67,2,35,7,1:23.461,83461,2024-09-05T09:16:11.108Z
67,2,36,7,1:23.443,83443,2024-09-05T09:16:11.108Z
67,2,37,7,1:23.647,83647,2024-09-05T09:16:11.108Z
67,2,38,7,1:23.412,83412,2024-09-05T09:16:11.108Z
67,2,39,7,1:23.372,83372,2024-09-05T09:16:11.108Z
67,2,40,6,1:26.772,86772,2024-09-05T09:16:11.108Z
67,2,41,10,1:45.104,105104,2024-09-05T09:16:11.108Z
67,2,42,10,1:24.181,84181,2024-09-05T09:16:11.108Z
67,2,43,10,1:24.387,84387,2024-09-05T09:16:11.108Z
67,2,44,9,1:25.015,85015,2024-09-05T09:16:11.108Z
67,2,45,8,1:24.415,84415,2024-09-05T09:16:11.108Z
67,2,46,8,1:24.107,84107,2024-09-05T09:16:11.108Z
67,2,47,8,1:24.841,84841,2024-09-05T09:16:11.108Z
67,2,48,8,1:24.182,84182,2024-09-05T09:16:11.108Z
67,2,49,8,1:24.532,84532,2024-09-05T09:16:11.108Z
67,2,50,8,1:24.163,84163,2024-09-05T09:16:11.108Z
67,2,51,8,1:24.926,84926,2024-09-05T09:16:11.108Z
67,2,52,8,1:23.986,83986,2024-09-05T09:16:11.108Z
67,2,53,8,1:24.091,84091,2024-09-05T09:16:11.108Z
67,9,1,3,1:29.712,89712,2024-09-05T09:16:11.108Z
67,9,2,3,1:25.499,85499,2024-09-05T09:16:11.108Z
67,9,3,3,1:24.954,84954,2024-09-05T09:16:11.108Z
67,9,4,3,1:24.873,84873,2024-09-05T09:16:11.108Z
67,9,5,3,1:24.407,84407,2024-09-05T09:16:11.108Z
67,9,6,3,1:24.289,84289,2024-09-05T09:16:11.108Z
67,9,7,3,1:24.102,84102,2024-09-05T09:16:11.108Z
67,9,8,3,1:23.865,83865,2024-09-05T09:16:11.108Z
67,9,9,3,1:24.077,84077,2024-09-05T09:16:11.108Z
67,9,10,3,1:24.258,84258,2024-09-05T09:16:11.108Z
67,9,11,3,1:24.304,84304,2024-09-05T09:16:11.108Z
67,9,12,3,1:23.763,83763,2024-09-05T09:16:11.108Z
67,9,13,3,1:23.757,83757,2024-09-05T09:16:11.108Z
67,9,14,3,1:23.887,83887,2024-09-05T09:16:11.108Z
67,9,15,3,1:23.680,83680,2024-09-05T09:16:11.108Z
67,9,16,2,1:23.906,83906,2024-09-05T09:16:11.108Z
67,9,17,2,1:23.700,83700,2024-09-05T09:16:11.108Z
67,9,18,1,1:23.446,83446,2024-09-05T09:16:11.108Z
67,9,19,1,1:23.655,83655,2024-09-05T09:16:11.108Z
67,9,20,1,1:23.525,83525,2024-09-05T09:16:11.108Z
67,9,21,1,1:23.111,83111,2024-09-05T09:16:11.108Z
67,9,22,1,1:26.960,86960,2024-09-05T09:16:11.108Z
67,9,23,4,1:47.583,107583,2024-09-05T09:16:11.108Z
67,9,24,4,1:24.219,84219,2024-09-05T09:16:11.108Z
67,9,25,4,1:24.193,84193,2024-09-05T09:16:11.108Z
67,9,26,4,1:24.100,84100,2024-09-05T09:16:11.108Z
67,9,27,3,1:24.864,84864,2024-09-05T09:16:11.108Z
67,9,28,3,1:24.200,84200,2024-09-05T09:16:11.108Z
67,9,29,3,1:24.109,84109,2024-09-05T09:16:11.108Z
67,9,30,3,1:24.164,84164,2024-09-05T09:16:11.108Z
67,9,31,3,1:23.898,83898,2024-09-05T09:16:11.108Z
67,9,32,3,1:23.999,83999,2024-09-05T09:16:11.108Z
