circuit_id,name,location,country,latitude,longitude,altitude,ingestion_data
29,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,58,2024-09-05T05:58:04.09Z
30,Kyalami,Midrand,South Africa,-25.9894,28.0767,1460,2024-09-05T05:58:04.09Z
31,Donington Park,Castle Donington,UK,52.8306,-1.37528,88,2024-09-05T05:58:04.09Z
32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227,2024-09-05T05:58:04.09Z
33,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,345,2024-09-05T05:58:04.09Z
34,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,2024-09-05T05:58:04.09Z
35,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,0,2024-09-05T05:58:04.09Z
36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,1126,2024-09-05T05:58:04.09Z
37,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,177,2024-09-05T05:58:04.09Z
38,Brands Hatch,Kent,UK,51.3569,0.263056,145,2024-09-05T05:58:04.09Z
39,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,6,2024-09-05T05:58:04.09Z
40,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,36,2024-09-05T05:58:04.09Z
41,Dijon-Prenois,Dijon,France,47.3625,4.89913,484,2024-09-05T05:58:04.09Z
42,Fair Park,Dallas,USA,32.7774,-96.7587,139,2024-09-05T05:58:04.09Z
43,Long Beach,California,USA,33.7651,-118.189,12,2024-09-05T05:58:04.09Z
44,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,639,2024-09-05T05:58:04.09Z
45,Jarama,Madrid,Spain,40.6171,-3.58558,609,2024-09-05T05:58:04.09Z
46,Watkins Glen,New York State,USA,42.3369,-76.9272,485,2024-09-05T05:58:04.09Z
47,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,153,2024-09-05T05:58:04.09Z
48,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,332,2024-09-05T05:58:04.09Z
49,Montjuïc,Barcelona,Spain,41.3664,2.15167,79,2024-09-05T05:58:04.09Z
50,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,139,2024-09-05T05:58:04.09Z
51,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,790,2024-09-05T05:58:04.09Z
52,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,214,2024-09-05T05:58:04.09Z
53,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,81,2024-09-05T05:58:04.09Z
54,Le Mans,Le Mans,France,47.95,0.224231,67,2024-09-05T05:58:04.09Z
55,Reims-Gueux,Reims,France,49.2542,3.93083,88,2024-09-05T05:58:04.09Z
56,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,15,2024-09-05T05:58:04.09Z
57,Zeltweg,Styria,Austria,47.2039,14.7478,676,2024-09-05T05:58:04.09Z
58,Aintree,Liverpool,UK,53.4769,-2.94056,20,2024-09-05T05:58:04.09Z
